City,Country,Lat,Lng,Cloudiness,Wind Speed,Humidity,Maximum Temp,Date
Baiyin,CN,36.5583,104.2081,0,4.47,47,53.6,1619829959
Boquete,PA,8.7833,-82.4333,96,0.94,99,64,1619829667
Xining,CN,36.6167,101.7667,71,2.95,27,55.38,1619829960
Henties Bay,NA,-22.116,14.2845,0,1.01,91,55.99,1619829960
Haskovo,BG,41.9403,25.5694,99,6.91,88,57.2,1619829714
Giohar,SO,2.7809,45.5005,40,4.25,80,77.56,1619829960
Pevek,RU,69.7008,170.3133,100,16.24,81,19.06,1619829961
Kedgwick,CA,47.6446,-67.3434,100,5.17,94,38.12,1619829961
Maurepas,FR,48.7649,1.9292,0,2.3,66,48.2,1619829962
Quatre Cocos,MU,-20.2078,57.7625,75,13.8,78,77,1619829962
Tromsø,NO,69.6496,18.957,75,2.3,86,24.8,1619829962
Lesosibirsk,RU,58.2358,92.4828,7,7.18,84,42.04,1619829963
Jumla,NP,29.2747,82.1838,54,2.01,71,52.34,1619829963
Tessalit,ML,20.1986,1.0114,86,22.59,33,80.71,1619829963
Dunedin,NZ,-45.8742,170.5036,17,8.99,57,57,1619829964
Otane,NZ,-39.8833,176.6333,5,8.99,50,61,1619829964
Narrabri,AU,-30.3167,149.7833,5,10.36,52,73.99,1619829964
Peleduy,RU,59.6289,112.7406,100,2.33,78,37.72,1619829965
Matara,LK,5.9485,80.5353,47,1.52,86,77.76,1619829965
La Macarena,CO,2.1837,-73.7849,96,2.19,97,70.77,1619829965
Torres,BR,-29.3353,-49.7269,5,5.64,84,62.26,1619829966
Ostrovnoy,RU,68.0531,39.5131,100,5.84,81,16.3,1619829966
Clearwater,US,27.9659,-82.8001,40,5.75,83,77,1619829905
Pittsfield,US,42.4501,-73.2454,90,17.27,65,44.6,1619829967
Murgab,TM,37.4966,61.9714,90,6.91,63,66.2,1619829967
Safford,US,32.834,-109.7076,1,11.5,15,84.2,1619829967
Arrondissement de Verdun,FR,49.25,5.3333,100,1.01,75,37.99,1619829968
Buraidah,SA,26.326,43.975,0,4.61,37,71.6,1619829730
Salalah,OM,17.0151,54.0924,40,2.3,78,82.4,1619829968
Yantal',RU,56.8471,105.2542,100,7.61,84,37.15,1619829968
Praia,CV,14.9215,-23.5087,20,13.8,78,71.6,1619829907
Talara,PE,-4.5772,-81.2719,100,11.21,82,70.02,1619829969
Tabou,CI,4.423,-7.3528,100,6.02,77,81.01,1619829969
Half Moon Bay,US,37.4636,-122.4286,90,13.8,87,64,1619829970
Puerto Baquerizo Moreno,EC,-0.9,-89.6,66,9.26,79,75.7,1619829970
Malindi,KE,-3.2175,40.1191,99,10.56,88,78.04,1619829970
Ustikolina,BA,43.5836,18.79,0,2.3,51,62.6,1619829963
Sarangani,PH,5.4033,125.4636,100,16.78,75,83.21,1619829971
Alofi,NU,-19.0595,-169.9187,100,6.91,94,77,1619829971
Nishihara,JP,26.1842,127.7558,75,13.8,83,78.8,1619829971
Agnibilékrou,CI,7.1344,-3.2047,96,3.38,89,75.38,1619829972
Eyemouth,GB,55.8713,-2.0901,14,6.31,77,33.01,1619829972
Najrān,SA,17.4924,44.1277,75,2.3,29,77,1619829972
Guaymas,MX,27.9333,-110.9,20,18.41,32,91.99,1619829973
Meulaboh,ID,4.1363,96.1285,93,3.04,84,78.28,1619829973
Kingori,TZ,-3.2833,36.9833,98,2.93,97,64.65,1619829973
Bakel,SN,14.905,-12.4568,36,13.49,23,91.15,1619829974
Tiznit Province,MA,29.5833,-9.5,69,6.31,74,53.65,1619829963
Brae,GB,60.3964,-1.353,100,6.91,87,35.6,1619829974
Sioux Lookout,CA,50.1001,-91.917,75,8.05,25,51.8,1619829974
Buchanan,LR,5.8808,-10.0467,75,7.2,94,75.2,1619829975
Esmeraldas,BR,-19.7625,-44.3139,0,6.91,68,68,1619829975
Havelock,US,34.8791,-76.9013,66,3,41,73.99,1619829976
Sabanalarga,CO,10.6296,-74.9206,40,6.91,83,80.6,1619829976
Aberfeldy,GB,56.62,-3.8645,100,1.28,91,39,1619829976
Khandyga,RU,62.6667,135.6,100,0.89,96,37.38,1619829977
Kamogawa,JP,35.1,140.1,40,6.91,72,68,1619829977
Mormugao,IN,15.4,73.8,4,4.18,75,80.85,1619829977
Östersund,SE,63.1792,14.6357,90,8.05,93,30.99,1619829978
Mnogovershinnyy,RU,53.9353,139.9242,100,3.38,85,32.38,1619829978
Simpang,ID,-1.2667,104.0833,88,2.57,83,78.87,1619829978
Manokwari,ID,-0.8667,134.0833,100,1.12,71,82.42,1619829979
Vila Franca do Campo,PT,37.7167,-25.4333,20,2.3,71,51.8,1619829979
Comrat,MD,46.3003,28.6572,5,4.52,84,55.69,1619829979
Lakes Entrance,AU,-37.8811,147.981,0,1.16,69,66.99,1619829980
San Cristobal,VE,7.7669,-72.225,75,4.61,100,75.2,1619829980
Āsmār,AF,35.0333,71.3581,47,8.9,52,67.86,1619829980
Kumluca,TR,36.3703,30.2869,31,6.38,40,74.3,1619829981
Navahrudak,BY,53.6,25.8333,100,6.67,87,40.96,1619829981
Khanna,IN,30.7044,76.2231,100,4.99,30,81.72,1619829981
Amnat Charoen,TH,15.9167,104.75,100,4.59,68,81.7,1619829982
Kuching,MY,1.55,110.3333,20,2.3,89,78.8,1619829982
Makat,KZ,47.6469,53.3463,70,10.31,37,52.59,1619829982
Lodja,CD,-3.4833,23.4333,99,1.03,99,69.53,1619829983
Songyang,CN,34.4553,113.0281,0,5.46,40,61.79,1619829983
Mondeville,FR,49.175,-0.3224,6,3.44,93,33.8,1619829983
Irpa Irpa,BO,-17.7167,-66.2667,100,9.22,39,62.6,1619829984
Gijang,KR,35.2442,129.2139,75,6.91,76,55.4,1619829984
Ganzhou,CN,28.8184,115.4327,0,4.5,61,77.94,1619829984
Baykit,RU,61.67,96.37,100,5.19,95,36.37,1619829985
Homer,US,59.6425,-151.5483,75,18.41,36,46.4,1619829985
Srednekolymsk,RU,67.45,153.6833,8,11.97,77,27.28,1619829985
Dingle,PH,10.9995,122.6711,61,7.31,65,86.23,1619829986
Anamalais,IN,10.5833,76.9333,20,2.3,83,78.8,1619829986
Ola,RU,59.5833,151.2833,74,2.57,75,34.59,1619829986
Mount Isa,AU,-20.7333,139.5,0,11.5,47,78.8,1619829786
Puro,PH,12.4841,123.3827,100,6.49,69,83.34,1619829987
Poya,NC,-21.35,165.15,69,6.6,53,79.88,1619829987
Belle Glade,US,26.6845,-80.6676,100,1.99,80,81,1619829987
Puerto Colombia,CO,10.9878,-74.9547,40,6.91,83,80.6,1619829988
Zhigansk,RU,66.7697,123.3711,100,5.99,96,30.24,1619829988
Imeni Poliny Osipenko,RU,52.4201,136.4853,100,9.35,58,40.14,1619829988
Struer Municipality,DK,56.4912,8.5838,89,3.89,89,39.99,1619829989
Jasper,US,37.2001,-94.3502,1,6.91,46,73.4,1619829989
Begunitsy,RU,59.5855,29.3176,0,4.47,80,33.8,1619829989
Bahía Blanca,AR,-38.7196,-62.2724,81,14.18,57,63.28,1619829990
Saint-Louis,SN,16.3333,-15,0,4.61,50,78.8,1619829990
Taltal,CL,-25.4,-70.4833,13,2.66,77,64.22,1619829990
Dukat,RU,62.55,155.55,99,3.06,84,27.97,1619829991
Sal Rei,CV,16.1833,-22.9167,40,11.5,78,69.8,1619829991
Orlik,RU,52.5178,99.825,100,5.46,93,35.67,1619829991
Nísia Floresta,BR,-6.0911,-35.2086,0,8.05,88,77,1619829992
Labuhan,ID,-6.8844,112.2051,69,6.22,80,81.21,1619829992
Caravelas,BR,-17.7125,-39.2481,100,13.87,67,75.87,1619829992
Kupang,ID,-10.1667,123.5833,6,8.52,66,83.26,1619829993
Egvekinot,RU,66.3167,-179.1667,100,2.44,88,20.75,1619829993
Barra do Garças,BR,-15.89,-52.2567,100,2.53,83,71.1,1619829993
Takoradze,GH,4.8845,-1.7554,100,7.16,80,81.41,1619829994
Quimper,FR,48,-4.1,0,5.75,81,41,1619829994
Poum,NC,-20.2333,164.0167,97,8.66,68,76.95,1619829994
Pokhara,NP,28.2333,83.9833,99,1.32,30,77.47,1619829995
Luau,AO,-10.7073,22.2247,100,3.24,96,63.84,1619829995
Tateyama,JP,34.9833,139.8667,20,4.61,72,66.2,1619829995
Sinop Province,TR,41.7711,34.8709,55,6.71,78,55.13,1619829969
Issenye,TZ,-2,34.3333,56,2.89,84,61.38,1619829996
Antofagasta,CL,-23.65,-70.4,40,9.22,82,60.8,1619829996
La Cruz,MX,23.9167,-106.9,0,4,66,79,1619829997
Kieta,PG,-6.2167,155.6333,26,4.68,70,84.67,1619829997
Porto Santo,PT,33.072,-16.3415,20,6.91,72,60.8,1619829997
Fuxin,CN,42.0156,121.6589,100,10.65,22,54.63,1619829998
Kilindoni,TZ,-7.9139,39.6668,90,10.67,83,79.48,1619829998
Kamenka,RU,51.3223,42.7678,100,13.87,84,48.99,1619829998
Kavieng,PG,-2.5744,150.7967,83,4.56,66,84.61,1619829999
Grand Gaube,MU,-20.0064,57.6608,100,5.99,79,77,1619829999
Liberty,US,31.8335,-81.5004,1,6.91,38,80.6,1619829999
Kirundo Province,BI,-2.5833,30.1667,40,2.3,100,64.4,1619830000
Oksbøl,DK,55.6268,8.2876,75,4.61,93,43,1619830000
Poshekhon'ye,RU,58.4993,39.1353,100,9.98,97,39.02,1619830000
Huntsville,US,34.7304,-86.5861,1,6.91,46,73.4,1619829719
Rovira,CO,4.2392,-75.24,100,1.59,95,66.02,1619830001
Santiago del Estero,AR,-27.7951,-64.2615,3,7.61,51,62.74,1619830001
Inta,RU,66.0317,60.1659,70,12.15,63,31.71,1619830002
Qaqortoq,GL,60.7167,-46.0333,23,24.16,29,50,1619830002
Am Timan,TD,11.0297,20.2827,91,3.8,23,91.18,1619830002
Tottori-shi,JP,35.5,134.2333,75,9.22,67,59,1619830003
Rome,US,43.2128,-75.4557,90,20.71,81,39.99,1619830003
Yeppoon,AU,-23.1333,150.7333,40,16.11,57,77,1619830003
Chato,TZ,-2.6378,31.7669,95,4.63,86,65.79,1619830004
Korhogo,CI,9.45,-5.6333,15,4.7,61,79.39,1619829912
Cessnock,AU,-32.8333,151.35,11,4.61,73,72,1619830004
Salinópolis,BR,-0.6136,-47.3561,99,4.72,86,76.57,1619830004
Distrikt Brokopondo,SR,4.75,-55.1667,100,8.66,89,75.56,1619830005
Uíge,AO,-7.6087,15.0613,100,2.64,96,66.79,1619830005
Ranong,TH,9.9658,98.6348,40,2.3,94,77,1619830005
Kavaratti,IN,10.5669,72.642,20,8.43,75,83.88,1619830006
Pjanići,BA,44.9836,15.8228,100,4.09,86,57,1619830006
Jiazi,CN,22.8779,116.067,99,6.71,64,78.06,1619830007
Sirte,LY,31.2089,16.5887,7,16.55,19,84.61,1619830007
